time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2024-10-12,territory,nu,125.0,7.0,95.0,0.0,0.0,0.0,95.0,0.0,,,,,,,,,,0.0,,,5.6000000000000005,0.0,,0.0,,,0.0,0.0
2024-10-12,territory,nt,54.0,1.0,54.0,2.0,2.0,0.0,54.0,0.0,,54.0,0.0,54.0,0.0,54.0,15.0,,,0.0,,0.0,1.8518518518518516,0.0,,3.7037037037037033,0.0,27.77777777777778,3.7037037037037033,0.0
2024-10-12,territory,yk,51.0,6.0,38.0,1.0,1.0,0.0,38.0,0.0,,,,,,,,,,0.0,,,11.76470588235294,0.0,,2.631578947368421,,,2.631578947368421,0.0
2024-10-12,province,bc,3586.0,631.0,3736.0,44.0,43.0,1.0,3722.0,21.0,842.0,868.0,6.0,842.0,5.0,873.0,198.0,834.0,4.0,18.0,0.4796163069544364,0.5938242280285035,17.596207473508088,0.5642127888232134,2.137767220902613,1.177730192719486,0.6912442396313364,22.68041237113402,1.1509635974304069,0.02676659528907923
2024-10-12,region,prairies,8298.0,1295.0,4066.0,23.0,20.0,3.0,3787.0,19.0,1450.0,1450.0,12.0,1488.0,0.0,1437.0,242.0,1491.0,4.0,21.0,0.2682763246143528,0.0,15.606170161484695,0.5017163982043834,1.4482758620689655,0.5656665027053616,0.8275862068965517,16.84064022268615,0.49188391539596654,0.07378258730939498
2024-10-12,province,ab,5446.0,800.0,2521.0,14.0,14.0,0.0,2360.0,18.0,923.0,923.0,7.0,920.0,0.0,910.0,131.0,923.0,4.0,12.0,0.43336944745395445,0.0,14.689680499449137,0.7627118644067797,1.3001083423618636,0.5553351844506148,0.7583965330444203,14.395604395604394,0.5553351844506148,0.0
2024-10-12,province,sk,1575.0,283.0,1181.0,9.0,6.0,3.0,1063.0,0.0,453.0,453.0,3.0,453.0,0.0,453.0,84.0,453.0,0.0,7.0,0.0,0.0,17.96825396825397,0.0,1.545253863134658,0.7620660457239627,0.6622516556291391,18.543046357615893,0.5080440304826418,0.2540220152413209
2024-10-12,province,mb,1277.0,212.0,364.0,0.0,0.0,0.0,364.0,1.0,74.0,74.0,2.0,115.0,0.0,74.0,27.0,115.0,0.0,2.0,0.0,0.0,16.601409553641346,0.27472527472527475,2.7027027027027026,0.0,2.7027027027027026,36.486486486486484,0.0,0.0
2024-10-12,province,on,8128.0,1185.0,6902.0,8.0,8.0,0.0,6903.0,40.0,5177.0,5176.0,30.0,5179.0,6.0,5179.0,961.0,3569.0,9.0,88.0,0.2521714766040908,0.11585248117397182,14.579232283464567,0.5794582065768507,1.6998261541433264,0.11590843233845263,0.5795981452859351,18.55570573469782,0.11590843233845263,0.0
2024-10-12,province,qc,10267.0,1506.0,7080.0,19.0,15.0,4.0,6177.0,161.0,1674.0,1691.0,44.0,1679.0,4.0,1739.0,344.0,1597.0,18.0,27.0,1.127113337507827,0.23823704586063135,14.668354923541443,2.6064432572446172,1.6129032258064515,0.2683615819209039,2.6020106445890008,19.781483611270843,0.211864406779661,0.05649717514124294
2024-08-31,territory,nu,107.0,5.0,,,,,,,,,,,,,,,,,,,4.7,,,,,,,
2024-08-31,province,pe,139.0,22.0,,,,,,,,,,,,,,,,,,,15.8,,,,,,,
2024-08-31,province,sk,1090.0,130.0,,,,,,,,,,,,,,,,,,,11.9,,,,,,,
2024-09-07,province,nb,1064.0,176.0,,,,,,,,,,,,,,,,,,,16.5,,,,,,,
2024-09-07,region,atlantic,2903.0,503.0,2265.0,2.0,2.0,0.0,2218.0,0.0,577.0,577.0,8.0,577.0,2.0,577.0,73.0,577.0,2.0,7.0,0.3,0.3,17.3,0.0,1.2,0.1,1.4,12.7,0.1,0.0
2024-09-07,territory,yk,33.0,6.0,,,,,,,,,,,,,,,,,,,18.2,,,,,,,
2024-09-07,province,sk,1140.0,151.0,,,,,,,,,,,,,,,,,,,13.2,,,,,,,
2024-09-07,province,pe,123.0,25.0,,,,,,,,,,,,,,,,,,,20.3,,,,,,,
2024-09-07,territory,nu,91.0,5.0,,,,,,,,,,,,,,,,,,,5.5,,,,,,,
2024-09-07,territory,nt,42.0,10.0,,,,,,,,,,,,,,,,,,,23.8,,,,,,,
2024-09-07,province,ns,1205.0,228.0,,,,,,,,,,,,,,,,,,,18.9,,,,,,,
2024-09-07,province,nl,511.0,74.0,,,,,,,,,,,,,,,,,,,14.5,,,,,,,
2024-09-07,province,mb,1136.0,215.0,,,,,,,,,,,,,,,,,,,18.9,,,,,,,
2024-08-31,territory,yk,46.0,10.0,,,,,,,,,,,,,,,,,,,21.7,,,,,,,
2024-09-07,province,ab,3290.0,393.0,,,,,,,,,,,,,,,,,,,11.9,,,,,,,
2024-09-07,nation,ca,26988.0,4954.0,18364.0,88.0,82.0,6.0,17106.0,77.0,7534.0,7590.0,66.0,7556.0,18.0,7644.0,773.0,6244.0,36.0,127.0,0.6,0.2,18.4,0.5,1.7,0.5,0.9,10.1,0.4,0.0
2024-08-31,region,territories,179.0,23.0,132.0,0.0,0.0,0.0,132.0,0.0,,,,,,,,,,,,,12.8,0.0,,0.0,,,0.0,0.0
2024-08-31,province,qc,9440.0,2147.0,6044.0,9.0,7.0,2.0,5098.0,57.0,1456.0,1473.0,21.0,1448.0,11.0,1523.0,184.0,1400.0,16.0,26.0,1.1,0.8,22.7,1.1,1.8,0.1,1.4,12.1,0.1,0.0
2024-08-31,region,prairies,5326.0,638.0,2125.0,40.0,39.0,1.0,1946.0,4.0,1214.0,1214.0,20.0,1193.0,2.0,1208.0,173.0,1254.0,3.0,14.0,0.2,0.2,12.0,0.2,1.2,1.9,1.6,14.3,1.8,0.0
2024-08-31,province,on,6459.0,995.0,5205.0,20.0,18.0,2.0,5205.0,13.0,3723.0,3723.0,14.0,3747.0,7.0,3747.0,254.0,2406.0,8.0,57.0,0.3,0.2,15.4,0.2,1.5,0.4,0.4,6.8,0.3,0.0
2024-08-31,province,bc,2571.0,484.0,2517.0,35.0,34.0,1.0,2517.0,12.0,621.0,621.0,2.0,621.0,9.0,617.0,55.0,617.0,1.0,9.0,0.2,1.4,18.8,0.5,1.4,1.4,0.3,8.9,1.4,0.0
2024-08-31,region,atlantic,2933.0,518.0,2242.0,2.0,1.0,1.0,2146.0,2.0,576.0,576.0,10.0,576.0,1.0,576.0,57.0,576.0,3.0,8.0,0.5,0.2,17.7,0.1,1.4,0.1,1.7,9.9,0.0,0.0
2024-10-12,region,atlantic,3644.0,469.0,2991.0,1.0,1.0,0.0,2991.0,10.0,921.0,916.0,14.0,921.0,1.0,916.0,228.0,916.0,2.0,16.0,0.21834061135371177,0.10857763300760044,12.870472008781558,0.3343363423604146,1.737242128121607,0.033433634236041454,1.5283842794759825,24.890829694323145,0.033433634236041454,0.0
2024-10-12,province,ns,1585.0,236.0,1450.0,1.0,1.0,0.0,1450.0,7.0,54.0,49.0,1.0,54.0,0.0,49.0,9.0,49.0,0.0,0.0,0.0,0.0,14.889589905362776,0.4827586206896552,0.0,0.06896551724137931,2.0408163265306123,18.367346938775512,0.06896551724137931,0.0
2024-09-21,province,ab,4069.0,496.0,1105.0,12.0,9.0,3.0,990.0,2.0,990.0,990.0,10.0,903.0,0.0,977.0,212.0,990.0,5.0,8.0,0.5050505050505051,0.0,12.189727205701645,0.20202020202020202,0.8080808080808081,1.085972850678733,1.0101010101010102,21.699078812691912,0.8144796380090499,0.27149321266968324
2024-10-12,province,pe,172.0,24.0,79.0,0.0,0.0,0.0,79.0,2.0,35.0,35.0,2.0,35.0,0.0,35.0,12.0,35.0,1.0,2.0,2.857142857142857,0.0,13.953488372093023,2.5316455696202533,5.714285714285714,0.0,5.714285714285714,34.285714285714285,0.0,0.0
2024-09-28,territory,yk,45.0,4.0,33.0,1.0,1.0,0.0,33.0,0.0,,,,,,,,,,0.0,,,8.88888888888889,0.0,,3.0303030303030303,,,3.0303030303030303,0.0
2024-09-28,province,bc,3446.0,637.0,3415.0,65.0,64.0,1.0,3415.0,7.0,843.0,843.0,2.0,843.0,6.0,833.0,209.0,833.0,3.0,14.0,0.36014405762304924,0.7117437722419928,18.485200232153222,0.20497803806734993,1.6607354685646498,1.903367496339678,0.2372479240806643,25.090036014405765,1.8740849194729137,0.029282576866764276
2024-09-28,region,prairies,7955.0,1128.0,2688.0,10.0,10.0,0.0,2519.0,12.0,1625.0,1625.0,13.0,1665.0,1.0,1611.0,353.0,1668.0,5.0,15.0,0.2997601918465228,0.06006006006006006,14.179761156505343,0.4763795156808257,0.9230769230769231,0.3720238095238095,0.8,21.91185599006828,0.3720238095238095,0.0
2024-09-28,province,ab,5250.0,635.0,1189.0,6.0,6.0,0.0,1113.0,6.0,1113.0,1113.0,12.0,1110.0,0.0,1099.0,248.0,1113.0,5.0,11.0,0.44923629829290207,0.0,12.095238095238095,0.5390835579514826,0.9883198562443846,0.5046257359125316,1.078167115902965,22.56596906278435,0.5046257359125316,0.0
2024-09-28,province,sk,1378.0,234.0,1088.0,3.0,3.0,0.0,995.0,6.0,445.0,445.0,1.0,445.0,1.0,445.0,85.0,445.0,0.0,2.0,0.0,0.22471910112359553,16.9811320754717,0.6030150753768844,0.44943820224719105,0.2757352941176471,0.22471910112359553,19.101123595505616,0.2757352941176471,0.0
2024-09-28,province,mb,1327.0,259.0,411.0,1.0,1.0,0.0,411.0,0.0,67.0,67.0,0.0,110.0,0.0,67.0,20.0,110.0,0.0,2.0,0.0,0.0,19.51770911831198,0.0,2.9850746268656714,0.24330900243309003,0.0,29.850746268656714,0.24330900243309003,0.0
2024-09-28,province,on,7281.0,1095.0,5838.0,12.0,10.0,2.0,5839.0,24.0,4419.0,4419.0,15.0,4421.0,9.0,4422.0,774.0,2845.0,12.0,52.0,0.421792618629174,0.2035738520696675,15.03914297486609,0.41102928583661585,1.1767368182846798,0.20554984583761562,0.3394433129667346,17.503392130257804,0.17129153819801302,0.0342583076396026
2024-09-28,province,qc,11332.0,2307.0,7310.0,15.0,10.0,5.0,6297.0,123.0,1714.0,1723.0,48.0,1712.0,0.0,1771.0,371.0,1652.0,21.0,22.0,1.2711864406779663,0.0,20.358277444405225,1.953311100524059,1.2835472578763127,0.2051983584131327,2.7858386535113175,20.948616600790515,0.13679890560875513,0.06839945280437756
2024-09-28,region,atlantic,3858.0,629.0,3085.0,6.0,6.0,0.0,2982.0,3.0,834.0,834.0,8.0,834.0,4.0,834.0,224.0,834.0,7.0,6.0,0.8393285371702638,0.4796163069544364,16.303784344219803,0.1006036217303823,0.7194244604316548,0.1944894651539708,0.9592326139088728,26.85851318944844,0.1944894651539708,0.0
2024-09-28,province,nb,1348.0,212.0,880.0,2.0,2.0,0.0,880.0,0.0,138.0,138.0,3.0,138.0,0.0,138.0,43.0,138.0,2.0,0.0,1.4492753623188406,0.0,15.727002967359049,0.0,0.0,0.22727272727272727,2.1739130434782608,31.15942028985507,0.22727272727272727,0.0
2024-09-28,province,ns,1560.0,286.0,1496.0,4.0,4.0,0.0,1393.0,0.0,36.0,36.0,1.0,36.0,0.0,36.0,7.0,36.0,1.0,0.0,2.7777777777777777,0.0,18.333333333333332,0.0,0.0,0.267379679144385,2.7777777777777777,19.444444444444446,0.267379679144385,0.0
2024-09-28,province,pe,161.0,28.0,68.0,0.0,0.0,0.0,68.0,3.0,19.0,19.0,0.0,19.0,0.0,19.0,10.0,19.0,1.0,0.0,5.263157894736842,0.0,17.391304347826086,4.411764705882353,0.0,0.0,0.0,52.63157894736842,0.0,0.0
2024-09-28,province,nl,789.0,103.0,641.0,0.0,0.0,0.0,641.0,0.0,641.0,641.0,4.0,641.0,4.0,641.0,164.0,641.0,3.0,6.0,0.46801872074883,0.62402496099844,13.054499366286437,0.0,0.93603744149766,0.0,0.62402496099844,25.585023400936034,0.0,0.0
2024-09-21,nation,ca,32231.0,6092.0,21215.0,112.0,102.0,10.0,19795.0,111.0,8906.0,8970.0,65.0,8894.0,20.0,8999.0,1710.0,7456.0,54.0,116.0,0.7242489270386265,0.22487069934787499,18.90105798765164,0.5607476635514018,1.3024927015495171,0.5279283525807212,0.7246376811594203,19.002111345705078,0.48079189252887106,0.047136460051850106
2024-09-21,region,territories,208.0,22.0,170.0,1.0,1.0,0.0,170.0,0.0,,45.0,0.0,45.0,0.0,45.0,16.0,,,0.0,,0.0,10.576923076923077,0.0,,0.5882352941176471,0.0,35.55555555555556,0.5882352941176471,0.0
2024-09-21,territory,nu,111.0,10.0,88.0,0.0,0.0,0.0,88.0,0.0,,,,,,,,,,0.0,,,9.00900900900901,0.0,,0.0,,,0.0,0.0
2024-09-21,territory,nt,47.0,6.0,45.0,0.0,0.0,0.0,45.0,0.0,,45.0,0.0,45.0,0.0,45.0,16.0,,,0.0,,0.0,12.76595744680851,0.0,,0.0,0.0,35.55555555555556,0.0,0.0
2024-09-21,territory,yk,50.0,6.0,37.0,1.0,1.0,0.0,37.0,0.0,,,,,,,,,,0.0,,,12.0,0.0,,2.7027027027027026,,,2.7027027027027026,0.0
2024-09-21,province,bc,3075.0,531.0,3033.0,60.0,60.0,0.0,3033.0,12.0,831.0,831.0,2.0,831.0,4.0,823.0,186.0,823.0,4.0,22.0,0.48602673147023084,0.48134777376654636,17.268292682926827,0.3956478733926805,2.6474127557160045,1.9782393669634024,0.24067388688327318,22.600243013365734,1.9782393669634024,0.0
2024-09-28,territory,nt,40.0,1.0,40.0,0.0,0.0,0.0,40.0,0.0,,40.0,2.0,40.0,0.0,40.0,14.0,,,0.0,,0.0,2.5,0.0,,0.0,5.0,35.0,0.0,0.0
2024-09-28,territory,nu,126.0,11.0,100.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,0.0,,,8.73015873015873,0.0,,0.0,,,0.0,0.0
2024-09-28,region,territories,211.0,16.0,173.0,1.0,1.0,0.0,173.0,0.0,,40.0,2.0,40.0,0.0,40.0,14.0,,,0.0,,0.0,7.5829383886255926,0.0,,0.5780346820809248,5.0,35.0,0.5780346820809248,0.0
2024-10-05,province,ab,5217.0,639.0,2007.0,16.0,16.0,0.0,1878.0,3.0,1121.0,1120.0,11.0,1117.0,0.0,1100.0,191.0,1121.0,1.0,14.0,0.08920606601248886,0.0,12.248418631397355,0.1597444089456869,1.2488849241748439,0.7972097658196312,0.9821428571428571,17.363636363636363,0.7972097658196312,0.0
2024-10-12,province,nl,777.0,76.0,673.0,0.0,0.0,0.0,673.0,1.0,673.0,673.0,9.0,673.0,1.0,673.0,164.0,673.0,1.0,11.0,0.1485884101040119,0.1485884101040119,9.78120978120978,0.1485884101040119,1.634472511144131,0.0,1.337295690936107,24.368499257057948,0.0,0.0
2024-10-05,nation,ca,34759.0,5615.0,24310.0,100.0,88.0,12.0,22943.0,180.0,10372.0,10464.0,103.0,10448.0,25.0,10477.0,2070.0,8735.0,56.0,153.0,0.6410990269032627,0.23928024502297088,16.154089588308064,0.7845530227084514,1.4751253374469726,0.4113533525298231,0.9843272171253822,19.757564188221817,0.36199095022624433,0.04936240230357877
2024-10-05,region,territories,145.0,7.0,109.0,0.0,0.0,0.0,109.0,0.0,,38.0,4.0,38.0,1.0,38.0,14.0,,,0.0,,2.631578947368421,4.827586206896552,0.0,,0.0,10.526315789473683,36.84210526315789,0.0,0.0
2024-10-05,territory,nu,73.0,4.0,53.0,0.0,0.0,0.0,53.0,0.0,,,,,,,,,,0.0,,,5.47945205479452,0.0,,0.0,,,0.0,0.0
2024-10-05,territory,nt,38.0,2.0,38.0,0.0,0.0,0.0,38.0,0.0,,38.0,4.0,38.0,1.0,38.0,14.0,,,0.0,,2.631578947368421,5.263157894736842,0.0,,0.0,10.526315789473683,36.84210526315789,0.0,0.0
2024-10-05,territory,yk,34.0,1.0,18.0,0.0,0.0,0.0,18.0,0.0,,,,,,,,,,0.0,,,2.941176470588235,0.0,,0.0,,,0.0,0.0
2024-10-05,province,bc,3588.0,630.0,3554.0,39.0,38.0,1.0,3539.0,14.0,878.0,915.0,16.0,878.0,13.0,900.0,194.0,872.0,4.0,18.0,0.45871559633027525,1.4806378132118452,17.558528428093645,0.3955919751342187,2.050113895216401,1.0973550928531233,1.7486338797814207,21.555555555555557,1.0692177827799663,0.028137310073157007
2024-10-05,region,prairies,8200.0,1190.0,3665.0,24.0,24.0,0.0,3441.0,4.0,1736.0,1735.0,18.0,1769.0,0.0,1715.0,340.0,1773.0,4.0,17.0,0.2256063169768754,0.0,14.512195121951219,0.11624527753560013,0.9792626728110598,0.6548431105047748,1.037463976945245,19.825072886297377,0.6548431105047748,0.0
2024-10-05,province,sk,1633.0,286.0,1257.0,7.0,7.0,0.0,1162.0,1.0,513.0,513.0,4.0,513.0,0.0,513.0,110.0,513.0,3.0,2.0,0.5847953216374269,0.0,17.513778322106553,0.08605851979345956,0.3898635477582846,0.5568814638027049,0.7797270955165692,21.44249512670565,0.5568814638027049,0.0
2024-09-28,nation,ca,34083.0,5812.0,22509.0,109.0,101.0,8.0,21225.0,169.0,9435.0,9484.0,88.0,9515.0,20.0,9511.0,1945.0,7832.0,48.0,109.0,0.6128702757916241,0.21019442984760903,17.052489510899864,0.7962308598351002,1.1552729199788023,0.4842507441467857,0.9278785322648672,20.45000525707076,0.44870940512683816,0.035541339019947576
2024-10-05,province,mb,1350.0,265.0,401.0,1.0,1.0,0.0,401.0,0.0,102.0,102.0,3.0,139.0,0.0,102.0,39.0,139.0,0.0,1.0,0.0,0.0,19.62962962962963,0.0,0.9803921568627451,0.24937655860349126,2.941176470588235,38.23529411764706,0.24937655860349126,0.0
2024-10-05,province,on,8161.0,1273.0,6761.0,13.0,10.0,3.0,6766.0,40.0,5246.0,5254.0,23.0,5257.0,8.0,5258.0,947.0,3637.0,12.0,76.0,0.3299422601044817,0.15217804831653034,15.598578605563043,0.5911912503694945,1.4487228364468168,0.1922792486318592,0.43776170536733916,18.01065043742868,0.14790711433219939,0.04437213429965981
2024-10-05,province,qc,10840.0,1935.0,7085.0,23.0,15.0,8.0,6062.0,117.0,1623.0,1633.0,35.0,1617.0,3.0,1677.0,335.0,1564.0,31.0,28.0,1.9820971867007673,0.1855287569573284,17.850553505535053,1.930056087099967,1.7252002464571778,0.32462949894142556,2.1432945499081444,19.97614788312463,0.2117148906139732,0.11291460832745237
2024-10-05,region,atlantic,3825.0,580.0,3136.0,1.0,1.0,0.0,3026.0,5.0,889.0,889.0,7.0,889.0,0.0,889.0,240.0,889.0,5.0,14.0,0.562429696287964,0.0,15.163398692810457,0.16523463317911435,1.574803149606299,0.03188775510204082,0.7874015748031495,26.996625421822273,0.03188775510204082,0.0
2024-10-05,province,nb,1194.0,167.0,841.0,0.0,0.0,0.0,841.0,1.0,167.0,167.0,1.0,167.0,0.0,167.0,46.0,167.0,5.0,4.0,2.9940119760479043,0.0,13.986599664991624,0.11890606420927466,2.3952095808383236,0.0,0.5988023952095809,27.54491017964072,0.0,0.0
2024-10-05,province,ns,1659.0,294.0,1579.0,0.0,0.0,0.0,1469.0,4.0,53.0,53.0,1.0,53.0,0.0,53.0,21.0,53.0,0.0,1.0,0.0,0.0,17.72151898734177,0.2722940776038121,1.8867924528301887,0.0,1.8867924528301887,39.62264150943396,0.0,0.0
2024-10-05,province,pe,196.0,22.0,68.0,0.0,0.0,0.0,68.0,0.0,21.0,21.0,0.0,21.0,0.0,21.0,12.0,21.0,0.0,1.0,0.0,0.0,11.224489795918368,0.0,4.761904761904762,0.0,0.0,57.14285714285714,0.0,0.0
2024-10-05,province,nl,776.0,97.0,648.0,1.0,1.0,0.0,648.0,0.0,648.0,648.0,5.0,648.0,0.0,648.0,161.0,648.0,0.0,8.0,0.0,0.0,12.5,0.0,1.2345679012345678,0.15432098765432098,0.7716049382716049,24.845679012345677,0.15432098765432098,0.0
2024-09-07,province,bc,2807.0,535.0,2683.0,41.0,41.0,0.0,2709.0,2.0,715.0,715.0,9.0,715.0,4.0,712.0,86.0,712.0,0.0,12.0,0.0,0.6,19.1,0.1,1.7,1.5,1.3,12.1,1.5,0.0
2024-09-07,province,on,5813.0,956.0,4929.0,9.0,9.0,0.0,4932.0,13.0,3532.0,3531.0,15.0,3556.0,9.0,3557.0,225.0,2298.0,9.0,68.0,0.4,0.3,16.4,0.3,1.9,0.2,0.4,6.3,0.2,0.0
2024-09-07,region,prairies,5566.0,759.0,2263.0,13.0,11.0,2.0,2071.0,2.0,1298.0,1296.0,12.0,1264.0,0.0,1287.0,185.0,1317.0,4.0,17.0,0.3,0.0,13.6,0.1,1.3,0.6,0.9,14.4,0.5,0.1
2024-09-07,province,qc,9733.0,2180.0,6078.0,22.0,18.0,4.0,5030.0,60.0,1412.0,1429.0,22.0,1402.0,3.0,1469.0,188.0,1340.0,21.0,23.0,1.6,0.2,22.4,1.2,1.6,0.4,1.5,12.8,0.3,0.1
2024-09-14,province,pe,130.0,16.0,,,,,,,,,,,,,,,,,,,12.3,,,,,,,
2024-09-14,region,territories,190.0,29.0,145.0,2.0,1.0,1.0,144.0,1.0,,,,,,,,,,,,,15.3,0.7,,1.4,,,0.7,0.7
2024-09-14,province,qc,11088.0,2496.0,6977.0,11.0,8.0,3.0,5761.0,75.0,1587.0,1601.0,17.0,1579.0,1.0,1650.0,250.0,1534.0,23.0,23.0,1.5,0.1,22.5,1.3,1.4,0.2,1.1,15.2,0.1,0.0
2024-09-14,region,prairies,6000.0,770.0,2449.0,20.0,16.0,4.0,2206.0,7.0,1368.0,1366.0,11.0,1299.0,7.0,1346.0,221.0,1388.0,5.0,12.0,0.4,0.5,12.8,0.3,0.9,0.8,0.8,16.4,0.7,0.2
2024-09-14,province,on,7089.0,1298.0,5653.0,19.0,19.0,0.0,5654.0,25.0,4132.0,4132.0,17.0,4155.0,6.0,4155.0,420.0,2762.0,10.0,52.0,0.4,0.1,18.3,0.4,1.3,0.3,0.4,10.1,0.3,0.0
2024-09-14,province,bc,2919.0,551.0,2832.0,59.0,57.0,2.0,2826.0,9.0,713.0,713.0,5.0,713.0,6.0,704.0,110.0,704.0,7.0,10.0,1.0,0.8,18.9,0.3,1.4,2.1,0.7,15.6,2.0,0.1
2024-09-14,region,atlantic,3185.0,542.0,2554.0,1.0,1.0,0.0,2467.0,1.0,698.0,698.0,12.0,698.0,1.0,698.0,121.0,708.0,4.0,8.0,0.6,0.1,17.0,0.0,1.1,0.0,1.7,17.3,0.0,0.0
2024-09-14,territory,yk,56.0,13.0,,,,,,,,,,,,,,,,,,,23.2,,,,,,,
2024-09-14,province,sk,1311.0,172.0,,,,,,,,,,,,,,,,,,,13.1,,,,,,,
2024-09-14,territory,nu,97.0,9.0,,,,,,,,,,,,,,,,,,,9.3,,,,,,,
2024-09-14,territory,nt,37.0,7.0,,,,,,,,,,,,,,,,,,,18.9,,,,,,,
2024-09-14,province,ns,1331.0,239.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,
2024-09-14,province,nl,566.0,89.0,,,,,,,,,,,,,,,,,,,15.7,,,,,,,
2024-09-14,province,nb,1158.0,198.0,,,,,,,,,,,,,,,,,,,17.1,,,,,,,
2024-09-14,province,mb,1118.0,183.0,,,,,,,,,,,,,,,,,,,16.4,,,,,,,
2024-09-14,province,ab,3571.0,415.0,,,,,,,,,,,,,,,,,,,11.6,,,,,,,
2024-09-14,nation,ca,30471.0,5686.0,20610.0,112.0,102.0,10.0,19058.0,118.0,8498.0,8547.0,62.0,8481.0,21.0,8590.0,1133.0,7096.0,49.0,105.0,0.7,0.2,18.7,0.6,1.2,0.5,0.7,13.2,0.5,0.0
2024-09-07,region,territories,166.0,21.0,146.0,1.0,1.0,0.0,146.0,0.0,,,,,,,,,,,,,12.7,0.0,,0.7,,,0.7,0.0
2024-09-21,province,mb,1105.0,199.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,
2024-09-21,province,on,7047.0,1301.0,5592.0,16.0,15.0,1.0,5593.0,20.0,4146.0,4149.0,16.0,4155.0,10.0,4155.0,655.0,2732.0,5.0,45.0,0.2,0.2,18.5,0.4,1.1,0.3,0.4,15.8,0.3,0.0
2024-09-21,province,qc,11802.0,2724.0,7152.0,19.0,15.0,4.0,6048.0,76.0,1584.0,1600.0,20.0,1581.0,4.0,1644.0,319.0,1532.0,30.0,28.0,2.0,0.3,23.1,1.3,1.8,0.3,1.2,19.4,0.2,0.1
2024-09-21,region,prairies,6577.0,915.0,2454.0,15.0,10.0,5.0,2232.0,3.0,1498.0,1498.0,17.0,1435.0,1.0,1485.0,317.0,1522.0,5.0,11.0,0.3,0.1,13.9,0.1,0.7,0.6,1.1,21.3,0.4,0.2
2024-09-21,province,nb,1272.0,204.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
2024-09-21,region,atlantic,3522.0,599.0,2814.0,1.0,1.0,0.0,2719.0,0.0,847.0,847.0,10.0,847.0,1.0,847.0,217.0,847.0,10.0,10.0,1.2,0.1,17.0,0.0,1.2,0.0,1.2,25.6,0.0,0.0
